,Date,Close,High,Low,Open,Volume,Target,Close_diff
0,2020-11-09,116.31999969482422,121.98999786376952,116.0500030517578,120.5,154515300,0,
1,2020-11-10,115.97000122070312,117.58999633789062,114.12999725341795,115.5500030517578,138023400,0,-0.34999847412109375
2,2020-11-11,119.48999786376952,119.62999725341795,116.44000244140624,117.19000244140624,112295000,1,3.519996643066392
3,2020-11-12,119.20999908447266,120.52999877929688,118.56999969482422,119.62000274658205,103162300,0,-0.2799987792968608
4,2020-11-13,119.26000213623048,119.66999816894533,117.87000274658205,119.44000244140624,81581900,1,0.05000305175782671
5,2020-11-16,120.3000030517578,120.98999786376952,118.1500015258789,118.91999816894533,91183000,1,1.0400009155273153
6,2020-11-17,119.38999938964844,120.66999816894533,118.95999908447266,119.5500030517578,74271000,0,-0.9100036621093608
7,2020-11-18,118.02999877929688,119.81999969482422,118.0,118.61000061035156,76322100,0,-1.3600006103515625
8,2020-11-19,118.63999938964844,119.05999755859376,116.80999755859376,117.58999633789062,74113000,1,0.6100006103515625
9,2020-11-20,117.33999633789062,118.7699966430664,117.29000091552734,118.63999938964844,73604300,0,-1.3000030517578125
10,2020-11-23,113.8499984741211,117.62000274658205,113.75,117.18000030517578,127959300,0,-3.4899978637695312
11,2020-11-24,115.16999816894533,115.8499984741211,112.58999633789062,113.91000366210938,113874200,1,1.319999694824233
12,2020-11-25,116.02999877929688,116.75,115.16999816894533,115.5500030517578,76499200,1,0.8600006103515483
13,2020-11-27,116.58999633789062,117.48999786376952,116.22000122070312,116.56999969482422,46691300,1,0.55999755859375
14,2020-11-30,119.0500030517578,120.97000122070312,116.80999755859376,116.97000122070312,169410200,1,2.4600067138671733
15,2020-12-01,122.72000122070312,123.47000122070312,120.01000213623048,121.01000213623048,127728200,1,3.6699981689453267
16,2020-12-02,123.08000183105467,123.37000274658205,120.88999938964844,122.0199966430664,89004200,1,0.3600006103515483
17,2020-12-03,122.94000244140624,123.77999877929688,122.20999908447266,123.5199966430664,78967600,0,-0.1399993896484375
18,2020-12-04,122.25,122.86000061035156,121.5199966430664,122.5999984741211,78260400,0,-0.6900024414062358
19,2020-12-07,123.75,124.56999969482422,122.25,122.30999755859376,86712000,1,1.5
20,2020-12-08,124.37999725341795,124.9800033569336,123.08999633789062,124.37000274658205,82225500,1,0.6299972534179545
21,2020-12-09,121.77999877929688,125.9499969482422,121.0,124.52999877929688,115089200,0,-2.5999984741210795
22,2020-12-10,123.23999786376952,123.87000274658205,120.1500015258789,120.5,81312200,1,1.459999084472642
